ID,USERID,TYPE,REGISTRATIONDATE,DOMAIN,STATUS,NEXTDUEDATE
116491,87405,Transfer,26/11/2018 00:00:00,,Active,23/10/2019 00:00:00
116492,87405,Transfer,26/11/2018 00:00:00,,Active,23/10/2019 00:00:00
116493,87405,Transfer,26/11/2018 00:00:00,,Active,23/10/2019 00:00:00
116494,87405,Transfer,26/11/2018 00:00:00,,Active,25/10/2019 00:00:00
115005,68963,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115007,62367,Register,04/10/2018 00:00:00,,Cancelled,04/10/2019 00:00:00
115010,91090,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115012,85357,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115013,90104,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115014,91092,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115015,80397,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115016,91093,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115018,91095,Register,05/10/2018 00:00:00,,Active,05/10/2019 00:00:00
115019,91095,Register,05/10/2018 00:00:00,,Active,05/10/2019 00:00:00
115020,91096,Register,05/10/2018 00:00:00,,Active,05/10/2019 00:00:00
115021,89929,Register,05/10/2018 00:00:00,,Active,05/10/2019 00:00:00
115022,89929,Register,05/10/2018 00:00:00,,Active,05/10/2019 00:00:00
115023,89929,Register,05/10/2018 00:00:00,,Active,05/10/2019 00:00:00
